6 |2024-04-27 00:16:37.8518 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
6 |2024-04-27 00:16:37.8518 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-27 00:16:37.8518 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-27 00:16:37.8901 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-27 00:16:37.8901 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-27 00:16:37.8901 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
14 |2024-04-27 00:16:38.9522 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
14 |2024-04-27 00:16:38.9522 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
14 |2024-04-27 00:16:38.9759 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
14 |2024-04-27 00:16:38.9759 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
17 |2024-04-27 00:18:48.2560 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
17 |2024-04-27 00:18:48.2560 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
17 |2024-04-27 00:18:48.2817 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 1
17 |2024-04-27 00:18:48.2817 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-27 00:19:56.6730 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-27 00:19:56.6824 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
7 |2024-04-27 00:19:56.8292 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-27 00:19:56.8292 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-27 00:20:06.2337 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-27 00:20:06.2337 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-27 00:20:06.2337 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-27 00:20:06.2833 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-27 00:20:06.2833 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-27 00:20:06.2833 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-27 00:20:07.4675 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
9 |2024-04-27 00:20:07.4675 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
9 |2024-04-27 00:20:07.5198 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 3
9 |2024-04-27 00:20:07.5198 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
20 |2024-04-27 00:20:08.8086 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
20 |2024-04-27 00:20:08.8086 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
20 |2024-04-27 00:20:08.8086 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
20 |2024-04-27 00:20:08.8444 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
20 |2024-04-27 00:20:08.8444 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
