26 |2024-04-27 00:35:54.7666 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Adding {category.Name} in Category Db
26 |2024-04-27 00:35:54.8052 |DEBUG |Data Layer |DataLayer.CategoryDB.Add |Added {category.Name} in Category Db
26 |2024-04-27 00:35:54.8052 |DEBUG |Service Layer |ServiceLayer.CategoryManager.Add |Added Category to DB
26 |2024-04-27 00:35:54.8052 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
26 |2024-04-27 00:35:54.8052 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
26 |2024-04-27 00:35:54.8052 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 3
26 |2024-04-27 00:35:54.8052 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
26 |2024-04-27 00:36:05.2252 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
26 |2024-04-27 00:36:05.2252 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
26 |2024-04-27 00:36:05.2252 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
26 |2024-04-27 00:36:05.2630 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
26 |2024-04-27 00:36:05.2630 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
26 |2024-04-27 00:36:05.2630 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |List Page on get method completed
26 |2024-04-27 00:36:06.3011 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |Calling List on get method
26 |2024-04-27 00:36:06.3011 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
26 |2024-04-27 00:36:06.3295 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 3
26 |2024-04-27 00:36:06.3295 |DEBUG |Tasl1 |Task1.Pages.CategoryNTier.ListModel.OnGet |List Page on get method completed
27 |2024-04-27 00:36:08.3645 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
27 |2024-04-27 00:36:08.3645 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
27 |2024-04-27 00:36:08.3862 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 0
27 |2024-04-27 00:36:08.3862 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
28 |2024-04-27 00:36:57.5723 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Adding Project
28 |2024-04-27 00:36:57.5723 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getting Project having {Project.Name} in Db
28 |2024-04-27 00:36:57.6011 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getted Project having {project.Name} in Db
28 |2024-04-27 00:36:57.6011 |DEBUG |Data Layer |DataLayer.ProjectDB.Add |Adding {project.Name} in Project Db
28 |2024-04-27 00:36:57.6417 |DEBUG |Data Layer |DataLayer.ProjectDB.Add |Added {project.Name} in Project Db
28 |2024-04-27 00:36:57.6417 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Added Project to DB
30 |2024-04-27 00:36:57.6417 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
30 |2024-04-27 00:36:57.6417 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
30 |2024-04-27 00:36:57.6529 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 1
30 |2024-04-27 00:36:57.6529 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
27 |2024-04-27 00:37:22.0012 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Adding Project
27 |2024-04-27 00:37:22.0012 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getting Project having {Project.Name} in Db
27 |2024-04-27 00:37:22.0382 |DEBUG |Data Layer |DataLayer.ProjectDB.GetByName |Getted Project having {project.Name} in Db
27 |2024-04-27 00:37:22.0382 |DEBUG |Data Layer |DataLayer.ProjectDB.Add |Adding {project.Name} in Project Db
27 |2024-04-27 00:37:22.0776 |DEBUG |Data Layer |DataLayer.ProjectDB.Add |Added {project.Name} in Project Db
27 |2024-04-27 00:37:22.0776 |DEBUG |Service Layer |ServiceLayer.ProjectManager.Add |Added Project to DB
27 |2024-04-27 00:37:22.0875 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
27 |2024-04-27 00:37:22.0875 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
27 |2024-04-27 00:37:22.0875 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 2
27 |2024-04-27 00:37:22.0875 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
30 |2024-04-27 00:37:30.4772 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |Calling List on get method
30 |2024-04-27 00:37:30.4772 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetching Record From DB
30 |2024-04-27 00:37:30.5138 |DEBUG |Data Layer |DataLayer.ProjectDB.GetAll |Fetched Record From DB count - 2
30 |2024-04-27 00:37:30.5138 |DEBUG |Tasl1 |Task1.Pages.ProjectNTier.ListModel.OnGet |List Page on get method completed
30 |2024-04-27 00:37:31.7304 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
30 |2024-04-27 00:37:31.7304 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
30 |2024-04-27 00:37:31.7570 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 0
30 |2024-04-27 00:37:31.7570 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
32 |2024-04-27 00:37:33.9118 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
32 |2024-04-27 00:37:33.9421 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
33 |2024-04-27 00:38:17.1992 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Adding Report
33 |2024-04-27 00:38:17.1992 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by name
33 |2024-04-27 00:38:17.2305 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by Name
33 |2024-04-27 00:38:17.2305 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Adding Report to DB
33 |2024-04-27 00:38:17.2699 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Added Report to DB
33 |2024-04-27 00:38:17.2699 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Added Report to DB
29 |2024-04-27 00:38:17.2699 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
29 |2024-04-27 00:38:17.2699 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
29 |2024-04-27 00:38:17.2782 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 1
29 |2024-04-27 00:38:17.2782 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
34 |2024-04-27 00:38:21.4063 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
34 |2024-04-27 00:38:21.4321 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
33 |2024-04-27 00:38:52.9309 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Adding Report
33 |2024-04-27 00:38:52.9309 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by name
33 |2024-04-27 00:38:52.9598 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by Name
33 |2024-04-27 00:38:52.9598 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Adding Report to DB
33 |2024-04-27 00:38:53.0022 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Added Report to DB
33 |2024-04-27 00:38:53.0022 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Added Report to DB
38 |2024-04-27 00:38:53.0022 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
38 |2024-04-27 00:38:53.0022 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
38 |2024-04-27 00:38:53.0124 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 2
38 |2024-04-27 00:38:53.0124 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
31 |2024-04-27 00:38:59.2441 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
31 |2024-04-27 00:38:59.2667 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
39 |2024-04-27 00:39:24.1148 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Adding Report
39 |2024-04-27 00:39:24.1148 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by name
39 |2024-04-27 00:39:24.1485 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by Name
39 |2024-04-27 00:39:24.1485 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Adding Report to DB
39 |2024-04-27 00:39:24.1829 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Added Report to DB
39 |2024-04-27 00:39:24.1829 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Added Report to DB
40 |2024-04-27 00:39:24.1829 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
40 |2024-04-27 00:39:24.1829 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
40 |2024-04-27 00:39:24.1829 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
40 |2024-04-27 00:39:24.1829 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
35 |2024-04-27 00:39:33.5575 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
35 |2024-04-27 00:39:33.5575 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
35 |2024-04-27 00:39:33.5956 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
35 |2024-04-27 00:39:33.5956 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
29 |2024-04-27 00:39:34.6831 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
29 |2024-04-27 00:39:34.6831 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
29 |2024-04-27 00:39:34.7080 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 0
29 |2024-04-27 00:39:34.7080 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
29 |2024-04-27 00:39:36.4789 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
29 |2024-04-27 00:39:36.5066 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 3
29 |2024-04-27 00:39:36.5066 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
29 |2024-04-27 00:39:36.5348 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
29 |2024-04-27 00:39:36.5348 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
29 |2024-04-27 00:39:36.5597 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
40 |2024-04-27 00:39:47.5006 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Adding Expense
40 |2024-04-27 00:39:47.5006 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by name
40 |2024-04-27 00:39:47.5293 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by Name
