22 |2024-04-27 01:34:02.1328 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 01:34:02.1328 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
22 |2024-04-27 01:34:02.1667 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetched Record From DB count - 3
22 |2024-04-27 01:34:02.1667 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |List Page on get method completed
22 |2024-04-27 01:34:05.4500 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
22 |2024-04-27 01:34:05.4865 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
22 |2024-04-27 01:34:05.4981 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
22 |2024-04-27 01:34:05.5280 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 3
22 |2024-04-27 01:34:05.5280 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
22 |2024-04-27 01:34:05.5524 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 3
24 |2024-04-27 01:34:17.1276 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Adding Expense
24 |2024-04-27 01:34:17.1276 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by name
24 |2024-04-27 01:34:17.1574 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by Name
24 |2024-04-27 01:34:17.1574 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Not Added Expense to DB
22 |2024-04-27 01:34:22.3285 |DEBUG |Tasl1 |Task1.Pages.ExpenseNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 01:34:22.3285 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetAll |Fetching Expense From DB
