17 |2024-04-26 20:52:20.5344 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
3 |2024-04-26 21:05:05.4462 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
3 |2024-04-26 21:05:05.5672 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-26 21:16:57.4608 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
7 |2024-04-26 21:16:57.8170 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
21 |2024-04-26 21:17:35.2539 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Adding Report
21 |2024-04-26 21:17:35.2539 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by name
21 |2024-04-26 21:17:35.3741 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by Name
21 |2024-04-26 21:17:35.3741 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Adding Report to DB
21 |2024-04-26 21:17:35.8740 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Added Report to DB
21 |2024-04-26 21:17:35.8740 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Added Report to DB
7 |2024-04-26 21:17:35.9124 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-26 21:17:35.9124 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
7 |2024-04-26 21:17:35.9124 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-26 21:17:35.9124 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
7 |2024-04-26 21:17:41.2880 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
7 |2024-04-26 21:17:41.5147 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-26 21:17:41.5147 |DEBUG |Service Layer |ServiceLayer.ReportManager.GetById |Deleting Report to DB
7 |2024-04-26 21:17:41.5147 |DEBUG |Data Layer |DataLayer.ReportDB.GetById |Deleting Department to DB
7 |2024-04-26 21:17:41.6638 |DEBUG |Data Layer |DataLayer.ReportDB.GetById |Deleted Report to DB
7 |2024-04-26 21:17:41.6638 |DEBUG |Service Layer |ServiceLayer.ReportManager.GetById |Deleted Report to DB
22 |2024-04-26 21:17:51.7904 |DEBUG |Service Layer |ServiceLayer.ReportManager.Update |Updating Report to DB
22 |2024-04-26 21:17:51.7904 |DEBUG |Data Layer |DataLayer.ReportDB.Update |Updating Report to DB
12 |2024-04-26 21:20:28.0129 |DEBUG |Service Layer |ServiceLayer.ReportManager.Update |Updating Report to DB
12 |2024-04-26 21:20:28.0333 |DEBUG |Data Layer |DataLayer.ReportDB.Update |Updating Report to DB
7 |2024-04-26 21:20:28.3496 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-26 21:20:28.3496 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
7 |2024-04-26 21:20:28.3611 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-26 21:20:28.3611 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
9 |2024-04-26 21:20:37.1189 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGetDelete |Calling List on Get By Delete:2 method
9 |2024-04-26 21:20:37.1189 |DEBUG |Data Layer |DataLayer.ReportDB.Delete |Deleting Report to DB
9 |2024-04-26 21:20:37.3238 |DEBUG |Data Layer |DataLayer.ReportDB.Delete |Deleting Report to DB
9 |2024-04-26 21:20:37.3238 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGetDelete |Called List on Get By Delete:2 method
4 |2024-04-26 21:20:37.3425 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
4 |2024-04-26 21:20:37.3425 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
4 |2024-04-26 21:20:37.3495 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 0
4 |2024-04-26 21:20:37.3495 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
6 |2024-04-26 21:20:39.5310 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-26 21:20:39.6784 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-26 21:20:59.8161 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Adding Report
6 |2024-04-26 21:20:59.8161 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by name
6 |2024-04-26 21:20:59.9297 |DEBUG |Data Layer |DataLayer.ReportDB.GetByName |Fetching Report to DB by Name
6 |2024-04-26 21:20:59.9297 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Adding Report to DB
6 |2024-04-26 21:20:59.9950 |DEBUG |Data Layer |DataLayer.ReportDB.Add |Added Report to DB
6 |2024-04-26 21:20:59.9950 |DEBUG |Service Layer |ServiceLayer.ReportManager.Add |Added Report to DB
7 |2024-04-26 21:21:00.0137 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |Calling List on get method
7 |2024-04-26 21:21:00.0137 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
7 |2024-04-26 21:21:00.0191 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-26 21:21:00.0191 |DEBUG |Tasl1 |Task1.Pages.ReportNTier.ListModel.OnGet |List Page on get method completed
